Tiempo,RPM ,Voltaje (%),,,
0.032,3.07,50,,Tiempo (s),RPM
0.08,6.14,50,,0,0
0.2,9.22,50,,0.032,3.07
0.504,12.29,50,,0.08,6.14
0.512,12.29,50,,0.2,9.22
0.52,12.29,50,,0.504,12.29
0.528,12.29,50,,0.512,12.29
0.536,12.29,50,,0.52,12.29
0.544,12.29,50,,0.528,12.29
0.552,12.29,50,,0.536,12.29
0.56,12.29,50,,2,12.29
0.568,12.29,50,,,
0.576,12.29,50,,,
0.584,12.29,50,,,
0.592,12.29,50,,,
0.6,12.29,50,,,
0.608,12.29,50,,,
0.616,12.29,50,,,
0.624,12.29,50,,,
0.632,12.29,50,,,
0.64,12.29,50,,,
0.648,12.29,50,,,
0.656,12.29,50,,,
0.664,12.29,50,,,
0.672,12.29,50,,,
0.68,12.29,50,,,
0.688,12.29,50,,,
0.696,12.29,50,,,
0.704,12.29,50,,,
0.712,12.29,50,,,
0.72,12.29,50,,,
0.728,12.29,50,,,
0.736,12.29,50,,,
0.744,12.29,50,,,
0.752,12.29,50,,,
0.76,12.29,50,,,
0.768,12.29,50,,,
0.776,12.29,50,,,
0.784,12.29,50,,,
0.792,12.29,50,,,
0.8,12.29,50,,,
0.808,12.29,50,,,
0.816,12.29,50,,,
0.824,12.29,50,,,
0.832,12.29,50,,,
0.84,12.29,50,,,
0.848,12.29,50,,,
0.856,12.29,50,,,
0.864,12.29,50,,,
0.872,12.29,50,,,
0.88,12.29,50,,,
0.888,12.29,50,,,
0.896,12.29,50,,,
0.904,12.29,50,,,
0.912,12.29,50,,,
0.92,12.29,50,,,
0.928,12.29,50,,,
0.936,12.29,50,,,
0.944,12.29,50,,,
0.952,12.29,50,,,
0.96,12.29,50,,,
0.968,12.29,50,,,
0.976,12.29,50,,,
0.984,12.29,50,,,
0.992,12.29,50,,,
1,12.29,50,,,
1.008,12.29,50,,,
1.016,12.29,50,,,
1.024,12.29,50,,,
1.032,12.29,50,,,
1.04,12.29,50,,,
1.048,12.29,50,,,
1.056,12.29,50,,,
1.064,12.29,50,,,
1.072,12.29,50,,,
1.08,12.29,50,,,
1.088,12.29,50,,,
1.096,12.29,50,,,
1.104,12.29,50,,,
1.112,12.29,50,,,
1.12,12.29,50,,,
1.128,12.29,50,,,
1.136,12.29,50,,,
1.144,12.29,50,,,
1.152,12.29,50,,,
1.16,12.29,50,,,
1.168,12.29,50,,,
1.176,12.29,50,,,
1.184,12.29,50,,,
1.192,12.29,50,,,
1.2,12.29,50,,,
1.208,12.29,50,,,
1.216,12.29,50,,,
1.224,12.29,50,,,
1.232,12.29,50,,,
1.24,12.29,50,,,
1.248,12.29,50,,,
1.256,12.29,50,,,
1.264,12.29,50,,,
1.272,12.29,50,,,
1.28,12.29,50,,,
1.288,12.29,50,,,
1.296,12.29,50,,,
1.304,12.29,50,,,
1.312,12.29,50,,,
1.32,12.29,50,,,
1.328,12.29,50,,,
1.336,12.29,50,,,
1.344,12.29,50,,,
1.352,12.29,50,,,
1.36,12.29,50,,,
1.368,12.29,50,,,
1.376,12.29,50,,,
1.384,12.29,50,,,
1.392,12.29,50,,,
1.4,12.29,50,,,
1.408,12.29,50,,,
1.416,12.29,50,,,
1.424,12.29,50,,,
1.432,12.29,50,,,
1.44,12.29,50,,,
1.448,12.29,50,,,
1.456,12.29,50,,,
1.464,12.29,50,,,
1.472,12.29,50,,,
1.48,12.29,50,,,
1.488,12.29,50,,,
1.496,12.29,50,,,
1.504,12.29,50,,,
1.512,12.29,50,,,
1.52,12.29,50,,,
1.528,12.29,50,,,
1.536,12.29,50,,,
1.544,12.29,50,,,
1.552,12.29,50,,,
1.56,12.29,50,,,
1.568,12.29,50,,,
1.576,12.29,50,,,
1.584,12.29,50,,,
1.592,12.29,50,,,
1.6,12.29,50,,,
1.608,12.29,50,,,
1.616,12.29,50,,,
1.624,12.29,50,,,
1.632,12.29,50,,,
1.64,12.29,50,,,
1.648,12.29,50,,,
1.656,12.29,50,,,
1.664,12.29,50,,,
1.672,12.29,50,,,
1.68,12.29,50,,,
1.688,12.29,50,,,
1.696,12.29,50,,,
1.704,12.29,50,,,
1.712,12.29,50,,,
1.72,12.29,50,,,
1.728,12.29,50,,,
1.736,12.29,50,,,
1.744,12.29,50,,,
1.752,12.29,50,,,
1.76,12.29,50,,,
1.768,12.29,50,,,
1.776,12.29,50,,,
1.784,12.29,50,,,
1.792,12.29,50,,,
1.8,12.29,50,,,
1.808,12.29,50,,,
1.816,12.29,50,,,
1.824,12.29,50,,,
1.832,12.29,50,,,
1.84,12.29,50,,,
1.848,12.29,50,,,
1.856,12.29,50,,,
1.864,12.29,50,,,
1.872,12.29,50,,,
1.88,12.29,50,,,
1.888,12.29,50,,,
1.896,12.29,50,,,
1.904,12.29,50,,,
1.912,12.29,50,,,
1.92,12.29,50,,,
1.928,12.29,50,,,
1.936,12.29,50,,,
1.944,12.29,50,,,
1.952,12.29,50,,,
1.96,12.29,50,,,
1.968,12.29,50,,,
1.976,12.29,50,,,
1.984,12.29,50,,,
1.992,12.29,50,,,
2,12.29,50,,,
